ID	DOCULECT	CONCEPT	TRANSCRIPTION
48193	MinkyaChi-U-10	they	nɑŋ.ni
48194	DoituHetsawlay-U-11	they	ʔən.ɬi
48195	LaituKhuasung-U-12	they	n̥i.ti
48196	LaituZaingchaung-U-13	they	ʔən.ɬi
48197	LaituKruChaung-U-14	they	so.ni.kʰol
48198	EkaiDaletYwaHaung-D-1	they	jaŋ.ni
48199	KhulaiAyeChaungKwanwa-D-5	they	jaŋ.ni
48200	DaituNyaungChaungYwa-D-4	they	na-.ni
48201	KhamawLakeKone-D-2	they	nɑ.he
48202	SaingbongAyoTaung-D-3	they	jɑ.me
48203	SaingbongAnnChaungYonChaung-A	they	jɑ.he.lui
48204	UppuKhaici-A	they	ni.hoiʔ (2)/ni.hɑ (pl)
48205	LaisawThuHtayKung-A	they	jɑ.ti
48206	LaisawMraukUTown-A	they	jɑ.ti
48207	SonglaiHettui8KarchaungHettui-A	they	sun.hɛ
48208	SonglaiMaungUmSong1MaungUmSong-A	they	ʔe.niʔ.hɛ
48209	SonglaiLai2PyinLoneKyiLai-A	they	ʔən.hɑ
48210	SonglaiDoitu9MaungYwaDoitu-A	they	ʔən.ɬiʔ
48211	LaituKongtuHteinpin-A	they	n̥i.tiʔ/ʔən.heʔ
48212	LaituSangkai-A	they	ni.ɬiʔ
48213	LaituKaikyi-A	they	ʔən.ɬiʔ/n̥i.tiʔ
48214	LaituAhongdong-A	they	n̥i.tiʔ
48215	LaituNyuanNetKhwahsung-A	they	n̥ɪ.tiʔ
48216	LaituPharpyaw-A	they	n̥ɪ.tiʔ
48217	LaituPheithapyin-A	they	n̥ɛ.tiʔ
48218	SumtuDookkan-A	they	jɑʔ.n̥iʔ (hɑ)
48219	NggaKantthayung-A	they	ʔuɑ.ni.hɛ
48220	NggaHlaLawngPang-A	they	ʔɑ.ni.hɛ
48221	KaangKruk-A	they	ʔɑm.ni.tu
48222	ChangpyangChangPyang-A	they	ʔɑm.niʔ
48223	DaaiTuisip-A	they	ʔɑ miŋ.miʔ
48224	DaaiAmsoi-A	they	ʔɑ miŋ.miʔ
48225	DaaiKalim-A	they	ho.hɑ
48226	DaaiKaangKhinphong-A	they	ʔɑm.niʔ
48227	DaaiLowerKheng-A	they	ʔɑm.ni
48228	DaaiMartu-A	they	ʔɑ.ni.kʰi
48229	DaaiRung-A	they	ʔɑ.ni.kʰi
48230	DaaiLingtuiLungtui-A	they	ʔɑ.ni.mi.kʰi
48231	DaaiAwisi-A	they	ʔɑ.ni kʰi
48232	DaaiNgxang5HungNghang-A	they	ʔɨn.ɬiʔ
48233	DaaiNgxang6KhengsanuNghang-A	they	ni.ɬiʔ
48234	DaaiNgxang7HmungtunuNghang-A	they	sun.hɛ
48235	DaaiYet3BuchaungwaYet-A	they	sun.he
48236	DaaiYetHettui4MawsungkyiYet-A	they	sun.hɛ
48237	DaarYinduLontung-A	they	ʔɑ̩.ni (sɑ.he)
48238	DaarYinduMsatui-A	they	ʔə.ni
48239	DaaiTuili-A	they	ʔɑ.mi.mi
48240	DaaiMkuiimnu-A	they	ʔɑ.niʔ ʔɛ/ʔɑ.niʔ.niʔ
48241	DaaiBantoi-A	they	ʔɑ.niʔ.ni/ʔɑ.miʔ.mi
48242	DaaiDuk-A	they	ʔɑ.niʔ.ni/ʔɑ.miʔ.mi
48243	DaaiNghngiloor-A	they	ʔɑ.ni.ni ʔe
48244	RawngtuWeilong-A	they	ŋɑ.mi
48245	RawngtuKyawnNam-A	they	ʔɑm.miŋ.mi
48246	RawngtuBoishi-A	they	ʔɑm.miʔ.ti
48247	RawngtuRamtim-A	they	ʔɑm.miʔ
48248	MatuPhaneng-A	they	ʔɑm.mi
48249	MroKhimiAreong10KyaGaungvillageMrokhami-A	they	ʔən.ni.si
48250	AreongKuwa-A	they	nɛ.si
48251	AreongKhuHlaing-A	they	hɑ.nɑ.si
48252	xenaAgYa-A	they	hɑŋ.ni.si
48253	XangtauNgaYoukKaing-A	they	ni.si
48254	WakungAwaPyin-A	they	hɑ.nɑ.ji
48255	WakungMarlar-A	they	hɑ.nɛ.ji
48256	WakungMyaTay-A	they	hɑ.nɑ.ji
48257	WakungKwaeChaung-A	they	ʔɑ.mɑ.ji/hɑ.nɑ.ji
48258	WakungLwinpuTaung-A	they	ʔɑ.mɑ.ji/hɑ.nɑ.ji
48259	MrusaDakKthiHl-A	they	hu.mɑ.rɑ
48260	AsangLamoitong-A	they	ni.se
48261	Zotung-A	they	min.min
48262	HakhaHakhaTown-A	they	ʔɑŋ.mɑ
48263	Mara-A	they	Ɂɑ.mei
48264	Zophei-A	they	ʔɑ.ni
19001	TaungthaWethet-T-1	thigh	pʰe
19002	TaungthaThanpuya-T-2	thigh	pʰɛ
19003	TaungthaKyarOoYin-T-3	thigh	pʰe
19004	TaungthaYeShin-T-4	thigh	pʰje
19005	MaraNgaphaipi-T-6	thigh	ʔɑ.mə.klo.bɑu
19006	MaraLailenpi-T-5	thigh	mə.kʰlo.pə
19007	ThaiphumRengkheng-T-7	thigh	pʰɑi
19008	BawmBahungTaung-T-8	thigh	ʔel
19009	AshoKokanTan-A-1	thigh	pʰe
19010	AshoPadekyawt-A-2	thigh	pʰe
19011	AshoPadar-A-3	thigh	pʰe
19012	AshoSalu-A-4	thigh	ʔɑ.pʰe
19013	AshoTarye-A-5	thigh	pʰe
19014	AshoKankawTaung-A-6	thigh	ʔɑ.pʰe
19015	AshoJatetaw-A-7	thigh	ʔɑ.pʰe
19016	AshoShinsawPyin-A-8	thigh	ʔɑ.pʰe
19017	AshoKhamaungShaeTaing-A-9	thigh	ʔɑ.pʰe
19018	AshoSaryeKwin-A-10	thigh	ʔɑ.pʰe
19019	AshoLinde-A-11	thigh	ʔɑ.pʰe
19020	AshoTayPhyu-A-13	thigh	pʰe
19021	TaungthaMie-U-1	thigh	pʰʲɑe
19022	UppuBuddhagarma-U-2	thigh	k.pʰei
19023	UppuKhaingzi-U-3	thigh	pʰe
19024	UppuChinLetmon-U-4	thigh	pʰe
19025	UppuKyinDwe-U-5	thigh	pʰe
19026	UppuYan-U-6	thigh	pʰe
19027	UppuNatkyi-U-7	thigh	pʰe
19028	MayinnOwnwa-U-9	thigh	pʰe
19029	LonpawKhoimalaung-U-9	thigh	pʰʲe
19030	MinkyaChi-U-10	thigh	pʰe
19031	DoituHetsawlay-U-11	thigh	pʰe
19032	LaituKhuasung-U-12	thigh	ʔ.pʰe
19033	LaituZaingchaung-U-13	thigh	pʰe
19034	LaituKruChaung-U-14	thigh	pʰe
19035	EkaiDaletYwaHaung-D-1	thigh	ɑ.pʰɛ
19036	KhulaiAyeChaungKwanwa-D-5	thigh	ɑ.pʰɛ
19037	DaituNyaungChaungYwa-D-4	thigh	ɑ.pʰɛ
19038	KhamawLakeKone-D-2	thigh	ɑ.pʰɛ
19039	SaingbongAyoTaung-D-3	thigh	ɑ.pʰɛ
19040	SaingbongAnnChaungYonChaung-A	thigh	ɑ.pʰɛ
19041	UppuKhaici-A	thigh	pʰe
19042	LaisawThuHtayKung-A	thigh	nɑ.pʰe
19043	LaisawMraukUTown-A	thigh	nɑ.pʰe
19044	HyowKongtuBoroKukyachariinRajasthali-A	thigh	etʃɛt
19045	HyowLaituGhungurumukParainBandarban-A	thigh	etʃɛt thɔ
19046	SonglaiHettui8KarchaungHettui-A	thigh	pʰe
19047	SonglaiMaungUmSong1MaungUmSong-A	thigh	pʰe
19048	SonglaiLai2PyinLoneKyiLai-A	thigh	pʰe
19049	SonglaiDoitu9MaungYwaDoitu-A	thigh	pʰe
19050	LaituKongtuHteinpin-A	thigh	[ʔɑ] pʰe
19051	LaituSangkai-A	thigh	pʰe
19052	LaituKaikyi-A	thigh	pʰe.t̯uŋ
19053	Laitu-A	thigh	(mɑ) pʰe
19054	LaituAhongdong-A	thigh	pʰe
19055	LaituNyuanNetKhwahsung-A	thigh	pʰe.θuŋ
19056	LaituPharpyaw-A	thigh	pʰe.t̯uŋ
19057	LaituPheithapyin-A	thigh	pʰe (tuŋ)
19058	SumtuDookkan-A	thigh	pʰe
19059	NggaKantthayung-A	thigh	pʰe k.tui
19060	NggaHlaLawngPang-A	thigh	pʰe
19061	KaangKruk-A	thigh	pʰe.tui
19062	ChangpyangChangPyang-A	thigh	ʔɑ pʰɑi
19063	DaaiTuisip-A	thigh	pʰɑi
19064	DaaiAmsoi-A	thigh	pʰɑi
19065	DaaiKalim-A	thigh	pʰɑi
19066	DaaiKaangKhinphong-A	thigh	pʰe
19067	DaaiLowerKheng-A	thigh	pʰe
19068	DaaiMartu-A	thigh	pʰe
19069	DaaiRung-A	thigh	pʰe
19070	DaaiLingtuiLungtui-A	thigh	pʰe
19071	DaaiAwisi-A	thigh	pʰe
19072	DaaiNgxang5HungNghang-A	thigh	pʰe
19073	DaaiNgxang6KhengsanuNghang-A	thigh	pʰe
19074	DaaiNgxang7HmungtunuNghang-A	thigh	pʰe
19075	DaaiYet3BuchaungwaYet-A	thigh	pʰe
19076	DaaiYetHettui4MawsungkyiYet-A	thigh	pʰe
19077	DaarYinduLontung-A	thigh	pʰe k.t̯ui
19078	DaarYinduMsatui-A	thigh	pʰe
19079	DaaiTuili-A	thigh	pʰe
19080	DaaiMkuiimnu-A	thigh	pʰe
19081	DaaiBantoi-A	thigh	pʰe
19082	DaaiDuk-A	thigh	pʰe
19083	DaaiNghngiloor-A	thigh	pʰe
19084	RawngtuWeilong-A	thigh	pʰe.tui/pʰe
19085	RawngtuKyawnNam-A	thigh	pʰe
19086	RawngtuBoishi-A	thigh	pʰe
19087	RawngtuRamtim-A	thigh	pʰe
19088	MatuPhaneng-A	thigh	pʰe
19089	MroKhimiAreong10KyaGaungvillageMrokhami-A	thigh	pʰe
19090	AreongKuwa-A	thigh	ʔɑ.pʰɑi
19091	AreongKhuHlaing-A	thigh	ʔɑ.pʰe
19092	xenaAgYa-A	thigh	ʔɑ.pʰe
19093	XangtauNgaYoukKaing-A	thigh	ʔɑ.pʰɑ
19094	WakungAwaPyin-A	thigh	ʔɑ.pʰe
19095	WakungMarlar-A	thigh	ʔɑ.pʰe
19096	WakungMyaTay-A	thigh	ʔɑ.pʰe.tə.bo
19097	WakungKwaeChaung-A	thigh	ʔɑ.pʰe
19098	WakungLwinpuTaung-A	thigh	ʔɑ.pʰe
19099	MrusaDakKthiHl-A	thigh	ʔɑ.ti.kə.bou
19100	AsangLamoitong-A	thigh	ə.pʰai
19101	Zotung-A	thigh	pʰeɑ
19102	HakhaHakhaTown-A	thigh	pʰe
19103	Mara-A	thigh	kʰlɔ.pɑ
19104	Zophei-A	thigh	boŋ
42673	TaungthaWethet-T-1	this	hin.mɑ
42674	TaungthaThanpuya-T-2	this	hin.mɔ
42675	TaungthaKyarOoYin-T-3	this	ʔə.m̥ɑ
42676	TaungthaYeShin-T-4	this	hi.mɑ
42677	MaraNgaphaipi-T-6	this	hɛ.hi
42678	MaraLailenpi-T-5	this	he.he
42679	ThaiphumRengkheng-T-7	this	hɛ.ʔɛ
42680	BawmBahungTaung-T-8	this	hi.mi
42681	AshoKokanTan-A-1	this	ni
42682	AshoPadekyawt-A-2	this	ni
42683	AshoPadar-A-3	this	ni
42684	AshoSalu-A-4	this	ni
42685	AshoTarye-A-5	this	jɑ.ni
42686	AshoKankawTaung-A-6	this	ni
42687	AshoJatetaw-A-7	this	ni
42688	AshoShinsawPyin-A-8	this	ni
42689	AshoKhamaungShaeTaing-A-9	this	ni
42690	AshoSaryeKwin-A-10	this	ni
42691	AshoLinde-A-11	this	ʔɑ.ni
42692	AshoTayPhyu-A-13	this	ni
42693	TaungthaMie-U-1	this	hi.mɑ
42694	UppuBuddhagarma-U-2	this	ho.ni
42695	UppuKhaingzi-U-3	this	ni
42696	UppuChinLetmon-U-4	this	ni
42697	UppuKyinDwe-U-5	this	ni
42698	UppuYan-U-6	this	ni
42699	UppuNatkyi-U-7	this	ni
42700	MayinnOwnwa-U-9	this	ni
42701	LonpawKhoimalaung-U-9	this	nɛ.nɛ
42702	MinkyaChi-U-10	this	ni
42703	DoituHetsawlay-U-11	this	ni
42704	LaituKhuasung-U-12	this	ni
42705	LaituZaingchaung-U-13	this	ni
42706	LaituKruChaung-U-14	this	ni.jə.kʰə
42707	EkaiDaletYwaHaung-D-1	this	jɑ
42708	KhulaiAyeChaungKwanwa-D-5	this	jɑ
42709	DaituNyaungChaungYwa-D-4	this	ni
42710	KhamawLakeKone-D-2	this	jɑ
42711	SaingbongAyoTaung-D-3	this	nɑ.ni
42712	SaingbongAnnChaungYonChaung-A	this	jɑ
42713	UppuKhaici-A	this	ni
42714	LaisawThuHtayKung-A	this	nɪŋ.kɪ
42715	LaisawMraukUTown-A	this	nɪŋ.kɪ
42716	SonglaiHettui8KarchaungHettui-A	this	hin
42717	SonglaiMaungUmSong1MaungUmSong-A	this	hin
42718	SonglaiLai2PyinLoneKyiLai-A	this	mən (hɑ)
42719	SonglaiDoitu9MaungYwaDoitu-A	this	ni
42720	LaituKongtuHteinpin-A	this	ni
42721	LaituSangkai-A	this	ni
42722	LaituKaikyi-A	this	ni
42723	LaituAhongdong-A	this	ni.hãt
42724	LaituNyuanNetKhwahsung-A	this	ni
42725	LaituPharpyaw-A	this	ni
42726	LaituPheithapyin-A	this	ni (hɑ̃t= thing)
42727	SumtuDookkan-A	this	ni
42728	NggaKantthayung-A	this	ʔɑ hin
42729	NggaHlaLawngPang-A	this	hin
42730	KaangKruk-A	this	tsɔʔ
42731	ChangpyangChangPyang-A	this	hɛ.sɔʔ
42732	DaaiTuisip-A	this	ve
42733	DaaiAmsoi-A	this	vɛ
42734	DaaiKalim-A	this	he.sɔʔ
42735	DaaiKaangKhinphong-A	this	sɔʔ
42736	DaaiLowerKheng-A	this	hin
42737	DaaiMartu-A	this	hin
42738	DaaiRung-A	this	vɛ.nəʔ
42739	DaaiLingtuiLungtui-A	this	vəʔ
42740	DaaiAwisi-A	this	ʔɑ vɛn
42741	DaaiNgxang5HungNghang-A	this	ni
42742	DaaiNgxang6KhengsanuNghang-A	this	ni
42743	DaaiNgxang7HmungtunuNghang-A	this	hɨ.ni
42744	DaaiYet3BuchaungwaYet-A	this	hɨn.ni
42745	DaaiYetHettui4MawsungkyiYet-A	this	hin
42746	DaarYinduLontung-A	this	ʃin
42747	DaarYinduMsatui-A	this	ʃin
42748	DaaiTuili-A	this	hin
42749	DaaiMkuiimnu-A	this	hin
42750	DaaiBantoi-A	this	hin
42751	DaaiDuk-A	this	hin
42752	DaaiNghngiloor-A	this	hin
42753	RawngtuWeilong-A	this	hoi ŋɑn
42754	RawngtuKyawnNam-A	this	hi.lɑŋ
42755	RawngtuBoishi-A	this	ʃi.kʰɑ
42756	RawngtuRamtim-A	this	ʃi.sɔʔ
42757	MatuPhaneng-A	this	hiʔ
42758	MroKhimiAreong10KyaGaungvillageMrokhami-A	this	næ
42759	AreongKuwa-A	this	nɑ
42760	AreongKhuHlaing-A	this	nɛ
42761	xenaAgYa-A	this	niʔ
42762	XangtauNgaYoukKaing-A	this	ni.hi
42763	WakungAwaPyin-A	this	nɛ
42764	WakungMarlar-A	this	nɛ
42765	WakungMyaTay-A	this	nɑŋ
42766	WakungKwaeChaung-A	this	nɛ
42767	WakungLwinpuTaung-A	this	nɛ
42768	MrusaDakKthiHl-A	this	ʔɑ.mɑ
42769	AsangLamoitong-A	this	hi.t̪ak
42770	Zotung-A	this	e
42771	HakhaHakhaTown-A	this	mɑ.hi
42772	Mara-A	this	he.he
42773	Zophei-A	this	mɑ.hɛ
4997	TaungthaWethet-T-1	thorn	ʃiŋ
4998	TaungthaThanpuya-T-2	thorn	ʃiŋ
4999	TaungthaKyarOoYin-T-3	thorn	ʃiŋ
5000	TaungthaYeShin-T-4	thorn	tʃʰiŋ
5001	MaraNgaphaipi-T-6	thorn	ʔɑ.ɬɛ
5002	MaraLailenpi-T-5	thorn	ʔɑ.ɬɑi
5003	ThaiphumRengkheng-T-7	thorn	pɑ.kʰiŋ
5004	BawmBahungTaung-T-8	thorn	liŋ
5005	AshoKokanTan-A-1	thorn	l̥iŋ
5006	AshoPadekyawt-A-2	thorn	l̥iŋ
5007	AshoPadar-A-3	thorn	ʔɑ.l̥iŋ
5008	AshoSalu-A-4	thorn	ʔɑ.l̥iŋ
5009	AshoTarye-A-5	thorn	l̥iŋ
5010	AshoKankawTaung-A-6	thorn	ʔɑ.l̥iŋ
5011	AshoJatetaw-A-7	thorn	ʔɑ.l̥iŋ
5012	AshoShinsawPyin-A-8	thorn	ʔɑ.l̥iŋ
5013	AshoKhamaungShaeTaing-A-9	thorn	ʔɑ.l̥iŋ
5014	AshoSaryeKwin-A-10	thorn	ʔɑ.l̥iŋ
5015	AshoLinde-A-11	thorn	ʔɑ.l̥iŋ
5016	AshoTayPhyu-A-13	thorn	l̥iŋ
5017	TaungthaMie-U-1	thorn	ʃeŋ
5018	UppuBuddhagarma-U-2	thorn	ʔ.ɬiŋ
5019	UppuKhaingzi-U-3	thorn	ɬi.ɬiŋ
5020	UppuChinLetmon-U-4	thorn	ʔ.ɬiŋ
5021	UppuKyinDwe-U-5	thorn	ɬi.ɬiŋ
5022	UppuYan-U-6	thorn	ɬiŋ
5023	UppuNatkyi-U-7	thorn	ɬiŋ
5024	MayinnOwnwa-U-9	thorn	ʔ.ɬiŋ
5025	LonpawKhoimalaung-U-9	thorn	ʔ.ɬiŋ
5026	MinkyaChi-U-10	thorn	ʔ.ɬiŋ
5027	DoituHetsawlay-U-11	thorn	ʔ.ɬi
5028	LaituKhuasung-U-12	thorn	ʔ.ɬiŋ
5029	LaituZaingchaung-U-13	thorn	ʔ.ɬiŋ
5030	LaituKruChaung-U-14	thorn	ʔ.ɬiŋ
5031	EkaiDaletYwaHaung-D-1	thorn	ɑ.tliŋ
5032	KhulaiAyeChaungKwanwa-D-5	thorn	ɑ.tliŋ
5033	DaituNyaungChaungYwa-D-4	thorn	tʰiŋ.tliŋ
5034	KhamawLakeKone-D-2	thorn	ɑ.tliŋ
5035	SaingbongAyoTaung-D-3	thorn	tʰɔ
5036	SaingbongAnnChaungYonChaung-A	thorn	tʰo
5037	UppuKhaici-A	thorn	ɬiʔ ɬiŋ
5038	LaisawThuHtayKung-A	thorn	sɑ.ɣiŋ
5039	LaisawMraukUTown-A	thorn	sɑ.ɣiŋ
5040	HyowKongtuBoroKukyachariinRajasthali-A	thorn	ŋɔŋtheɪ̯
5041	HyowLaituGhungurumukParainBandarban-A	thorn	ŋɔŋtheɪ̯
5042	SonglaiHettui8KarchaungHettui-A	thorn	ʔɑ ɬiŋ/ʔɑ hiŋ
5043	SonglaiMaungUmSong1MaungUmSong-A	thorn	ʔɑ ɬiŋ
5044	SonglaiLai2PyinLoneKyiLai-A	thorn	ɬiŋ
5045	SonglaiDoitu9MaungYwaDoitu-A	thorn	ʔɑ ɬiŋ
5046	LaituKongtuHteinpin-A	thorn	[ʔɑ] ɬiŋ
5047	LaituSangkai-A	thorn	(ʔɑ) ɬiŋ
5048	LaituKaikyi-A	thorn	ɬiŋ
5049	Laitu-A	thorn	ɬiŋ
5050	LaituAhongdong-A	thorn	(ʔɑ) ɬiŋ
5051	LaituNyuanNetKhwahsung-A	thorn	(ʔɑ) ɬiŋ
5052	LaituPharpyaw-A	thorn	(ʔɑ) ɬiŋ
5053	LaituPheithapyin-A	thorn	(ʔɑ) ɬiŋ
5054	SumtuDookkan-A	thorn	ɬiŋ
5055	NggaKantthayung-A	thorn	ŋ.ɬiŋ
5056	NggaHlaLawngPang-A	thorn	ŋ.ɬiŋ
5057	KaangKruk-A	thorn	ɬiːŋ
5058	ChangpyangChangPyang-A	thorn	ɬiŋ
5059	DaaiTuisip-A	thorn	ɬiːŋ
5060	DaaiAmsoi-A	thorn	ɬiːŋ
5061	DaaiKalim-A	thorn	ɬiːŋ
5062	DaaiKaangKhinphong-A	thorn	ɬiŋ
5063	DaaiLowerKheng-A	thorn	ɬiŋ
5064	DaaiMartu-A	thorn	ɬiŋ
5065	DaaiRung-A	thorn	ŋ.ɬiŋ
5066	DaaiLingtuiLungtui-A	thorn	ɬiŋ
5067	DaaiAwisi-A	thorn	ɬiŋ
5068	DaaiNgxang5HungNghang-A	thorn	ŋ.ɬiːŋ
5069	DaaiNgxang6KhengsanuNghang-A	thorn	ŋ.ɬiːŋ
5070	DaaiNgxang7HmungtunuNghang-A	thorn	ŋ.ɬiːŋ
5071	DaaiYet3BuchaungwaYet-A	thorn	ŋ.ɬiːŋ
5072	DaaiYetHettui4MawsungkyiYet-A	thorn	ŋ.hɪŋ
5073	DaarYinduLontung-A	thorn	ᵑɬiŋ
5074	DaarYinduMsatui-A	thorn	ᵑɬiŋ
5075	DaaiTuili-A	thorn	ᵑɬiŋ
5076	DaaiMkuiimnu-A	thorn	ᵑɬiŋ
5077	DaaiBantoi-A	thorn	ᵑɬiŋ
5078	DaaiDuk-A	thorn	ᵑr̥iŋ/ᵑɬiŋ
5079	DaaiNghngiloor-A	thorn	ᵑɬiŋ
5080	RawngtuWeilong-A	thorn	ɬiŋ
5081	RawngtuKyawnNam-A	thorn	ɬiŋ
5082	RawngtuBoishi-A	thorn	ɬiŋ
5083	RawngtuRamtim-A	thorn	ɬiŋ
5084	MatuPhaneng-A	thorn	ɬiŋ
5085	MroKhimiAreong10KyaGaungvillageMrokhami-A	thorn	ɬiŋ
5086	AreongKuwa-A	thorn	mɑ.tʰɑ
5087	AreongKhuHlaing-A	thorn	ʔɑ.xiŋ
5088	xenaAgYa-A	thorn	xo.kə.liŋ
5089	XangtauNgaYoukKaing-A	thorn	xuŋ.kə.liŋ
5090	WakungAwaPyin-A	thorn	ʔɑ.xiŋ
5091	WakungMarlar-A	thorn	ʔɑ.xiŋ
5092	WakungMyaTay-A	thorn	ʔɑ.xiŋ
5093	WakungKwaeChaung-A	thorn	ʔɑ.xiŋ
5094	WakungLwinpuTaung-A	thorn	ʔɑ.xiŋ
5095	MrusaDakKthiHl-A	thorn	mə.rɔ.mo.hɛ
5096	AsangLamoitong-A	thorn	kʰriŋ
5097	Zotung-A	thorn	hin.pɔ
5098	HakhaHakhaTown-A	thorn	ɬiŋ
5099	Mara-A	thorn	ɬei
5100	Zophei-A	thorn	ɬiŋ
38667	TaungthaWethet-T-1	three	p.tʰuŋ
38668	TaungthaThanpuya-T-2	three	p.tʰuŋ
38669	TaungthaKyarOoYin-T-3	three	p.tʰuŋ
38670	TaungthaYeShin-T-4	three	p.tʰuŋ
38671	MaraNgaphaipi-T-6	three	pə.tʰə
38672	MaraLailenpi-T-5	three	pə.tʰɔŋ
38673	ThaiphumRengkheng-T-7	three	kə.tʰuŋ
38674	BawmBahungTaung-T-8	three	pə.tʰun
38675	AshoKokanTan-A-1	three	pun.tʰuŋ
38676	AshoPadekyawt-A-2	three	pun.tʰəŋ
38677	AshoPadar-A-3	three	pə.tʰən
38678	AshoSalu-A-4	three	tʰuŋ
38679	AshoTarye-A-5	three	tʰɯn
38680	AshoKankawTaung-A-6	three	pə.tʰɔn
38681	AshoJatetaw-A-7	three	pɔn.tʰɔn
38682	AshoShinsawPyin-A-8	three	pɔn.tʰɔn
38683	AshoKhamaungShaeTaing-A-9	three	pən.tʰən
38684	AshoSaryeKwin-A-10	three	pən.tʰən
38685	AshoLinde-A-11	three	pə.tʰuŋ
38686	AshoTayPhyu-A-13	three	tʰɔn
38687	TaungthaMie-U-1	three	p.tʰuŋ
38688	UppuBuddhagarma-U-2	three	p.tʰuŋ
38689	UppuKhaingzi-U-3	three	p.tʰuŋ
38690	UppuChinLetmon-U-4	three	p.tʰuŋ
38691	UppuKyinDwe-U-5	three	p.tʰuŋ
38692	UppuYan-U-6	three	p.tʰuŋ
38693	UppuNatkyi-U-7	three	p.tʰuŋ
38694	MayinnOwnwa-U-9	three	p.tʰuŋ
38695	LonpawKhoimalaung-U-9	three	p.tʰuŋ
38696	MinkyaChi-U-10	three	p.tʰuŋ
38697	DoituHetsawlay-U-11	three	p.tʰuŋ
38698	LaituKhuasung-U-12	three	p.tʰuŋ
38699	LaituZaingchaung-U-13	three	pɔi.tʰuŋ
38700	LaituKruChaung-U-14	three	pɔi.tʰuŋ
38701	EkaiDaletYwaHaung-D-1	three	pə.tʰɯŋ
38702	KhulaiAyeChaungKwanwa-D-5	three	pə.tʰɯŋ
38703	DaituNyaungChaungYwa-D-4	three	pɔ.tʰuŋ
38704	KhamawLakeKone-D-2	three	pə.tʰuŋ
38705	SaingbongAyoTaung-D-3	three	pə.tʰuŋ
38706	SaingbongAnnChaungYonChaung-A	three	pon.tʰuŋ
38707	UppuCintwe-A	three	tʃʰɑuŋ  pɑ  tʰum
38708	UppuSaw-A	three	tʃʰɔŋ  pɑ  tʰum
38709	UppuKhaici-A	three	tʃʰɔŋ pɑ t̯ʰum
38710	AshoAungLan-A	three	[pum] tʰũ
38711	LaisawThuHtayKung-A	three	po.tʰuŋ
38712	LaisawMraukUTown-A	three	po.tʰuŋ
38713	SonglaiHettui8KarchaungHettui-A	three	k.tʰum
38714	SonglaiMaungUmSong1MaungUmSong-A	three	k.tʰum
38715	SonglaiLai2PyinLoneKyiLai-A	three	pu.tʰum
38716	SonglaiDoitu9MaungYwaDoitu-A	three	pə.tʰum
38717	LaituKongtuHteinpin-A	three	tʰum
38718	LaituSangkai-A	three	(kʰɒŋ) pɑ tʰum
38719	LaituKaikyi-A	three	(kʰrɑŋ) pəi tʰum
38720	LaituAhongdong-A	three	(kʰrɑŋ) pəi tʰum
38721	LaituNyuanNetKhwahsung-A	three	(kʰrɑŋ) pəi tʰum
38722	LaituPharpyaw-A	three	(kʰrɑŋ) pəi tʰum
38723	LaituPheithapyin-A	three	(kʰrɑŋ) pəi tʰum
38724	SumtuDookkan-A	three	(kʰrɑŋ) pəi ᵐtʰum
38725	NggaKantthayung-A	three	k.tʰum
38726	NggaHlaLawngPang-A	three	k.tʰum
38727	KaangKruk-A	three	pɑ.tʰum
38728	ChangpyangChangPyang-A	three	pɑ.tʰum
38729	DaaiTuisip-A	three	pɑk.tʰum
38730	DaaiAmsoi-A	three	pɑk.tʰum
38731	DaaiKalim-A	three	pɑ.tʰum
38732	DaaiKaangKhinphong-A	three	pɑ.tʰum
38733	DaaiLowerKheng-A	three	pɑ k.tʰum
38734	DaaiMartu-A	three	pɑ k.tʰum
38735	DaaiRung-A	three	pɑ k.tʰum
38736	DaaiLingtuiLungtui-A	three	pɑ k.tʰum
38737	DaaiAwisi-A	three	pɑ k.tʰum
38738	DaaiNgxang5HungNghang-A	three	pɑ tʰum
38739	DaaiNgxang6KhengsanuNghang-A	three	pɑ.tʰum
38740	DaaiNgxang7HmungtunuNghang-A	three	k.tʰum
38741	DaaiYet3BuchaungwaYet-A	three	k.tʰum
38742	DaaiYetHettui4MawsungkyiYet-A	three	k.tʰum
38743	DaarYinduLontung-A	three	k.tʰum
38744	DaarYinduMsatui-A	three	k.tʰum
38745	DaaiTuili-A	three	k.tʰum
38746	DaaiMkuiimnu-A	three	k.tʰum
38747	DaaiBantoi-A	three	k.tʰum
38748	DaaiDuk-A	three	k.tʰum
38749	DaaiNghngiloor-A	three	k.tʰum
38750	MuunNgMenSheetHmawi-A	three	ˤkxɑːŋ  ʃiŋ  ˤtʰum
38751	MuunNituShingBawk-A	three	kʰiɑːŋ  sʰɨŋ  ˤtʰum
38752	NgGah-A	three	ˤkxɑːŋ  ˤtʰum
38753	DaaiKhengLowerKheng-A	three	ˤkxɑːŋ  pum  ˤtʰum
38754	KaangKruk-A	three	kʰrɑŋ  pɑ  tʰum
38755	DaaiMatupiReung-A	three	tʰlɑŋ pɑ  ˤtʰum
38756	DaaiPaletwaMuntunu-A	three	tʰlɑːŋ  pum  ˤtʰum
38757	MatuHaltu-A	three	ɬɑŋ  pɑ  tʰum
